LookupString,Latitude,Longitude,GeoName
"Guerrero, Mazela, Mexico",0,0,
"Veracruz, Panuco, El Prisco, Mexico",0,0,
"Chiriqui, Panama",8.139963649999999,-82.25984378775684,"Chiriquí, Panama"
"Jalisco, Totoate, Ruin, Mexico",0,0,
"Veracruz, Panuco, Pavon Site, Mexico",0,0,
"Puebla, Cholula, Mexico",19.0233438,-98.3076366,"Puebla, Tonantzintla (Santa María Tonantzintla), San Andrés Cholula, Puebla, 72828, México"
"Guerrero, Acapulco, Mexico",16.9003769,-99.8454285,"Guerrero, 15 de Septiembre, Colonia Loma Larga (El Basurero), Acapulco, Acapulco de Juárez, Guerrero, 39300, México"
"Salvador, El Salvador",13.8000382,-88.9140683,El Salvador
"Chiriqui, Colombia",8.51573705,-82.62006619185595,"Bomba de Colombia, Avenida 2a Sur, Belén, Bugabita Arriba, La Concepción, Distrito Bugaba, Chiriquí, Panama"
"San Cristobal Ecatepec, Mexico",22.1582491,-100.9590861,"San Cristobal Ecatepec, San Luis Potosí, Municipio de San Luis Potosí, San Luis Potosí, 78300, México"
"San Simón, Mexico",18.9664951,-97.7110501,"San Simón, Quecholac, Puebla, 75460, México"
"Hidalgo, Tula, Mexico",22.997524,-99.7117393,"Hidalgo, Ciudad Tula, Tula, Tamaulipas, México"
"El Peten, Uaxactun, Guatemala",17.3912708,-89.6294686,"Uaxactun, Carretera a Uaxactún, Uaxactún, Flores, Petén, Guatemala"
"Chiapas, Banks Of The Usumacintla River, Tecolpa, Mexico",0,0,
"Oaxaca, Boca Del Rio, Mexico",16.1812557,-95.1868773,"Oaxaca, Ensenada de la Ventosa, Salina Cruz, Oaxaca, México"
"Yucatan, Mexico",20.6845957,-88.8755669,"Yucatán, México"
"Chiapas, Paredon, Mexico",16.052511,-93.8682794,"El Paredón, Tonalá, Chiapas, 30503, México"
"Nayarít, Santa Teresa, Mexico",18.635152,-95.503327,"Nayarit, Santa Teresa, Lerdo de Tejada, Veracruz de Ignacio de la Llave, México"
"Jalisco, Atoyac, Mexico",20.1583732,-103.5096405,"Mexico, Autopista Guadalajara - Colima, Zacoalco de Torres, Jalisco, 45780, México"
"Coatepec, Mexico",19.4448572,-96.93362844130704,"Coatepec, Veracruz de Ignacio de la Llave, México"
"Quetzaltenango, Guatemala",14.7360257,-91.6152074,"Quetzaltenango, Guatemala"
"Morelos, Cuernavaca, Mexico",18.9305968,-99.1813253,"Morelos, Tejalpa, Jiutepec, Morelos, 62380, México"
"Managua, Nicaragua",12.1461244,-86.273717,"Managua, Managua (Municipio), Departamento de Managua, 10000 (CODIGO MAESTRO), Nicaragua"
"Chihuahua, Mexico",28.5000001,-106.0000001,"Chihuahua, México"
"Nicoya, Costa Rica",10.10341535,-85.4153082176243,"Cantón Nicoya, Provincia Guanacaste, Costa Rica"
"San Blas Islands, Panama",9.5857951,-78.87868649714605,"Archipiélago de San Blas, Nusagandi road, Cartí, Distrito Gaigirgordub, Comarca Guna Yala, Panama"
"Texcoco, Mexico",19.47559065,-98.85539643391266,"Texcoco, Estado de México, México"
"Jalisco, Tuxpan, Mexico",19.423611,-103.409444,"Jalisco, Calle Leyes de Reforma, La Higuera, Tuxpan, Jalisco, 49834, México"
"Michoacán, Tzintzuntzan, Mexico",19.6258467,-101.5767139,"Tzintzuntzan, Michoacán de Ocampo, 58440, México"
"Guerrero, Quechomictipan, Mexico",0,0,
"Jalisco, Hacienda Estanzuela, Mexico",0,0,
"Wild Cane Cay, Belize",0,0,
"Veracruz, Panuco, Vera Cruz, Mexico",0,0,
"Veracruz, North Panuco, Mexico",22.161917,-98.1522495,"Veracruz, Las Ánimas, Confederación Nacional Campesina (Canoas), Pánuco, Veracruz de Ignacio de la Llave, México"
"Volcano Turrialba, Costa Rica",0,0,
"Patuca River, Honduras",14.4451335,-85.9640408,"Complejo hidroeléctrico Patuca III, Juticalpa, Olancho, Honduras"
"Northern Mexico, Mexico",35.1252011,-106.6957017,"Northern, Los Duranes, Albuquerque, Bernalillo County, New Mexico, 87120-3033, United States of America"
"Huexotla, Mexico",19.4697145,-98.8824759,"Huexotla, Tolimpa, Lomas de Cristo, Texcoco, Estado de México, 56236, México"
"Rio General, Costa Rica",10.1875506,-83.9726334,"Río General, Varablanca, Cantón Heredia, Provincia Heredia, 40105, Costa Rica"
"Veracruz, Panuco, El Prisco Brickyard, Mexico",0,0,
"Tlaxcala, Calpulalpan, Mexico",19.5899082,-98.615824,"Tlaxcala, San Felipe Sultepec, Calpulalpan, Tlaxcala, México"
"Sinaloa, Culiacan, Chametla, Mexico",24.817245,-107.4311312,"Estero Chametla, Pradera Dorada, Culiacán, Sinaloa, 80058, México"
