Id,Acquisition Year,Acquisition Type,Latitude,Longitude,Country,Locale
1 / 2236,1880,,23.634501,-102.552784,Mexico,
1 / 2979,1880,Gift,23.634501,-102.552784,Mexico,
1 / 2983,1880,Gift,15.199999,-86.241905,Honduras,
1 / 2997 A,1880,,0,0,,Chiriqui
1 / 2997 B,1880,,0,0,,Chiriqui
1 / 4141,1892,,23.634501,-102.552784,Mexico,
1 / 4157,1892,,14.641528,-61.024174,Martinique,
1 / 4205,1892,,12.865416,-85.207229,Nicaragua,
1 / 4210,1892,,14.641528,-61.024174,Martinique,
1 / 4211,1892,,14.641528,-61.024174,Martinique,
1 / 4212,1892,,14.641528,-61.024174,Martinique,
1 / 4227,1892,Gift,12.865416,-85.207229,Nicaragua,
1 / 4228,1892,Gift,12.865416,-85.207229,Nicaragua,
1 / 4229,1892,Gift,0,0,,
1 / 4230,1892,Gift,0,0,,
1 / 4231,1892,Gift,0,0,,
1 / 4232,1892,Gift,0,0,,
1 / 4254,1892,Gift,12.865416,-85.207229,Nicaragua,
1 / 4267,1892,,23.634501,-102.552784,Mexico,
1 / 4268,1892,,23.634501,-102.552784,Mexico,
1 / 4269,1892,,23.634501,-102.552784,Mexico,
1 / 4270,1892,,23.634501,-102.552784,Mexico,
1 / 4271,1892,,23.634501,-102.552784,Mexico,
1 / 4272,1892,,23.634501,-102.552784,Mexico,
1 / 4277,1894,Gift,0,0,,Chiriqui
1 / 4385,1894,,23.634501,-102.552784,Mexico,
1 / 4386,1894,,23.634501,-102.552784,Mexico,
1 / 4811,1896,,9.748917,-83.753428,Costa Rica,
1 / 4812,1896,,9.748917,-83.753428,Costa Rica,
1 / 4813,1896,,9.748917,-83.753428,Costa Rica,
1 / 4840,1895,,4.570868,-74.297333,Colombia,
1 / 4843,1895,,4.570868,-74.297333,Colombia,
1 / 4978,1897,,18.109581,-77.297508,Jamaica,
1 / 4979,1897,,0,0,,
1 / 5248,1898,,8.537981,-80.782127,Panama,
1 / 5249,1898,,8.537981,-80.782127,Panama,
1 / 5250,1898,,8.537981,-80.782127,Panama,
1 / 5251,1898,,8.537981,-80.782127,Panama,
1 / 5252,1898,,8.537981,-80.782127,Panama,
1 / 5253,1898,,8.537981,-80.782127,Panama,
1 / 5254,1898,,8.537981,-80.782127,Panama,
1 / 5255,1898,,8.537981,-80.782127,Panama,
1 / 5256,1898,,8.537981,-80.782127,Panama,
1 / 5257,1898,,8.537981,-80.782127,Panama,
1 / 5258,1898,,8.537981,-80.782127,Panama,
1 / 5259,1898,,8.537981,-80.782127,Panama,
1 / 5260,1898,,8.537981,-80.782127,Panama,
1 / 5261,1898,,8.537981,-80.782127,Panama,
1 / 5262,1898,,8.537981,-80.782127,Panama,
1 / 5263,1898,,8.537981,-80.782127,Panama,
1 / 5264,1898,,8.537981,-80.782127,Panama,
1 / 5265,1898,,8.537981,-80.782127,Panama,
1 / 5266,1898,,8.537981,-80.782127,Panama,
1 / 5267,1898,,8.537981,-80.782127,Panama,
1 / 5268,1898,,8.537981,-80.782127,Panama,
1 / 5269,1898,,8.537981,-80.782127,Panama,
