text,count
INCISED,8
EAR PLUG,8
"PLAQUE, TABLET",8
MOUTH,8
HUMAN FEMALE HEAD,8
"HEAD, HEADDRESS",8
ELABORATE HEADDRESS,8
THRONE,8
"THRONE, BODY",8
PORTRAIT HEAD,8
"MALE? HEAD, OUTLINE HEADDRESS",8
BODY CARRYING BABY,8
FLORAL MOTIF,7
CRANE,7
HUMAN BODY,7
BROWN BEAR,7
CROSS,7
DESIGN,7
THE LEGEND OF LESALAGILA,7
AMITABHA,7
KUBERA,7
VAJRASATTVA,7
MODEL STREET VENDOR,7
STAR,7
NECKLACE,7
STRIPE,7
DIAMONDS,7
STYLIZED FACES WITH HEADDRESSES,7
DOUBLE-HEADED SERPENT MOTIF,7
TOO DAMAGED TO DISTINGUISH THE DESIGN,7
DIAMONS MOTIFS ON STEPPED FRET SHAPED CLOTHS IN ALTERNATING COLORS,7
"NO DESIGN, TWO SEPERATE LAYERS OF CLOTH, ONE BROWN AND ONE WHITE",7
DRUM,7
RING,7
TRIPOD,7
SCULPTURE FRAGMENT,7
BEAD,7
MANATEE HEAD,7
CARVED BONE,7
FIGURINE BODY,7
GOZNE,7
"BODY, SIMPLE SKIRT",7
"HEADDRESS, XOCHIQUETZAL?",7
ERECT FIGURE,7
"HUMAN, HEAD, FIGURINE",7
PENATE,7
OBSIDIAN BLADE,7
"TITLE ""TÄTOWIRUNG DER FRAUEN; PONAPÉ""",6
SCULPIN,6
OLD MAN,6
BLACK BEAR,6
DZUNUKWA (WILD WOMAN OF THE FOREST),6
WARRIOR,6
BEAR HEAD,6
EYE,6
DEVIL FISH,6
SPIRAL DESIGN,6
EAGLE'S HEAD,6
CRAB,6
"TLINGIT CREST STAMPS, FACIAL PAINTING FOR DANCES",6
SEATED BUDDHA,6
USHNISHAVIJAYA,6
"MEDICINE BUDDHA, BHAISHAJYAGURU",6
FOUR ARHATS,6
DEITY OF GOOD LUCK,6
VAJRADHARA,6
ASTROLOGICAL TEXT,6
MARTIAL ARTIST HOLDING STICK,6
FEATHER,6
TEXT,6
DIAMOND PATTERN ON BRAIDED CORD,6
DIAMOND MOTIFS,6
MYTHICAL FIGURES,6
STRIPE DESIGN,6
SNAKE FIGURE,6
RECTANGLE,6
SWORDFISH FIGURE,6
SITTING FIGURE,6
ANIMAL FACE,6
ANIMAL'S HEAD,6
BIRD SHAPE,6
HUMAN FACES,6
STONE PALMA,6
HEAD ARCHAIC STYLE,6
HUMAN?,6
BREAST,6
ANIMAL BODY,6
HUMAN FEMALE TORSO,6
SMALL THRONE,6
FAT GOD,6
"HEAD, GOD",6
"HEAD, COYOTLATELCO",6
"THRONE, HEAD",6
"THRONE, HEAD, TLALOC",6
HEAD-MONKEY,6
ORNATE HEADRESS,6
HUNCH BACK,6
"HEAD, EHECATL",6
HEAD WITH ORNATE HEADDRESS,6
"EARSPOOL, BUTTON",6
FAN-SHAPED HEADDRESS,6
CROCODILE?,5
FACE AND SCROLL,5
"TITLE ""TÄTOWIRUNG""",5
MOON,5
HAIDA WOMAN,5
RAVEN HEAD,5
CLOUD SWEEPER OF EVENING SKY,5
BEAR EYE,5
WOLF HEAD,5
BUTTERFLY,5
BEAR'S HEAD,5
QUAIL TIP DESIGN,5
ARROW FEATHER DESIGN,5
MOUNTAIN LION,5
RAVEN'S HEAD,5
HORN SPOON HANDLE,5
PEHAR,5
