text,count
METAL (TIN),89
"CLOTH (COTTON), PIGMENT",89
"FEATHER, PLANT FIBER",88
"HIDE, PIGMENT, THREAD",88
"BAMBOO, PLANT FIBER",87
REED,86
"BAMBOO, PIGMENT",86
"WOOD, FIBER",86
"PLANT FIBER, HIDE",86
"WOOD, CANE",85
"METAL, PIGMENT",85
"WOOD, METAL, PLANT FIBER, HIDE, FUR",85
GLASS,84
"PLANT FIBER, STRING",84
"WOOD, THREAD",83
"WOOD, BAMBOO",82
"WOOD, METAL, PLANT FIBER",82
"WOOD, METAL, HIDE",82
"BONE, SINEW",82
"METAL (BRONZE), GILT",82
SHELL (TORTOISE),81
"WOOD, HIDE, METAL",81
METAL (GOLD),80
"CANVAS, PIGMENT, GILT",80
PIGMENT,79
"BAMBOO, CORD",79
"WOOD, PIGMENT, STRING",79
"CANE, WOOD, PLANT FIBER, RESIN",79
"WOOD, HIDE, PIGMENT",79
"CLAY, PAINT",79
"CLOTH (WOOL, COTTON)",78
"PLANT FIBER, WOOD, CORD",78
"CANE, YARN",78
"HIDE, PIGMENT, METAL, BAMBOO, THREAD",77
"GOURD, CORD",76
"WOOD, PLANT FIBER, CORD",76
"WOOD, PIGMENT, HIDE",76
CORD (PLANT FIBER),75
"PLANT FIBER, TWIGS, PIGMENT",75
METAL (ALUMINUM),75
"METAL (IRON), PLANT FIBER, COATING",75
COCONUT SHELL,74
"HIDE, THREAD",74
"HIDE, PIGMENT, SINEW",74
"GOURD, COATING",74
GREENSTONE (JADEITE),74
YARN,73
"HIDE, BEADS, THREAD",73
"PHOTO, PAPER, PIGMENT",73
"CANE, WOOD, STRING, FEATHER",73
"WOOD, HIDE, SINEW",72
WOOD (BALSA),70
PLANT FIBER (PALM),70
METAL (STEEL),69
"PLANT FIBER, YARN",69
"CANE, WOOD, FIBER",69
HAIR,68
"METAL, ENAMEL",68
"WOOD, METAL, LEAF, COATING",68
"WOOD, STONE",67
"WOOD, METAL (IRON), PLANT FIBER",67
ROOT ?,66
"HIDE, SINEW, FUR",66
"CLOTH (PONGEE SILK), PIGMENT, CARDBOARD (MODERN), ADHESIVE (MODERN)",66
COTTON (COMMERCIAL),66
"WOOD, PL.FIBER, FEATHER, PITCH, METAL",66
"WOOD, HIAR, FEATHER, HIDE, PLT FIBER, COATING",66
"PLANT FIBER, CLOTH",65
CLAY?,65
"PLANT FIBER, BARK",65
"PAPER, PENCIL, INK",65
"CLOTH (COTTON, SILK)",65
"WOOD, STONE, PLANT FIBER",64
"HIDE, PIGMENT, CLOTH",64
"PAPER, PIGMENT, WOOD, CORD, METAL",64
"HIDE (GOAT), PIGMENT, STRING",64
"WOOD, PLANT FIBER, METAL",63
"HIDE, FUR (SEAL), SINEW",63
"HIDE, PIGMENT, BEADS, SINEW",63
"HIDE, METAL",63
STONE (SOAPSTONE),63
LEATHER,63
"WOOD, CORD, COATING",63
ROOT,62
"CLAY, GLAZE (BROWN)",62
SILK,62
"WOOD, ROPE (HORSEHAIR)",62
"CANE, STRING",61
"STRING (PLANT FIBER), THREAD, CARDBOARD",61
"YARN (WOOL), DYE",61
"WOOD, PIGMENT, STAIN",61
"WOOD, CANE, PLANT FIBER",60
STONE (SERPENTINE),60
"HIDE, BEADS, SINEW, THREAD",60
"METAL (COPPER, BRASS)",60
"METAL (BRASS, COPPER)",59
"COTTON, SILK",59
PLASTER?,59
HAIR (HUMAN),58
"CANE?/PALM?, PLANT FIBER, WOOD",58
"PLANT FIBER, FEATHER",58
"PLANT FIBER, WOOD, PIGMENT?",58
"CLAY, ORANGE PIGMENT",58
BONE (WHALE),57
"BEADS (GLASS), THREAD",57
"CLOTH, SILK, PIGMENT, THREAD, HIDE",57
"CLOTH (SILK), THREAD (METALLIC)",57
"METAL (COPPER), COATING",57
"WOOD, COATING, STAIN",56
"IVORY, COATING",56
"SHELL (COCONUT), PIGMENT",55
"CORD, DYE",55
STONE (PUMICE),55
"BAMBOO, WOOD, STRING, PLANT FIBER (VINE), FEATHER, RESIN",55
"CLAY, GRAY PIGMENT",55
"WOOD, FEATHER",54
"HIDE, BONE",54
"WOOD, METAL, STRING",54
"WOOD, LACQUER",54
"HIDE (GOAT), PIGMENT, BAMBOO, STRING, SINEW",54
"WOOD, METAL (IRON), STAIN",54
"WOOD, YARN",53
"WOOD (BALSA), PIGMENT",53
BEAN,53
"BAMBOO, STRING",52
FUR,52
"WOOD, CORD (PLANT FIBER)",52
HIDE (LEATHER),52
"CLOTH (SILK, COTTON), THREAD",52
"PAPER, PIGMENT, ADHESIVE",52
"HIDE, WOOD, PIGMENT, PLANT FIBER",52
"COTTON, WILD SILK",52
CORN,51
"BAMBOO, METAL",50
"PLANT FIBER, DYE, CORD",50
"PLANT FIBER (LEAVES, TWIGS, FLOWERS)",50
"CANE, THREAD",50
SILVER,50
"CANE, FEATHER, STRING (COTTON)",50
"HIDE, BEAD",49
HORN (GOAT),49
"PLANT FIBER, PIGMENT, HIDE",49
THREAD (COTTON),49
DARK GREEN STONE,49
"CLAY, BROWN PIGMENT",49
NUT,48
HAIR (HORSE),48
CERAMIC (CLAY),48
"CLOTH (COTTON), DYE",48
"WOOD, PLANT FIBER, STAIN",48
"HIDE, PL.FIBER, WOOD, FEATHER, LEAF, PITCH",48
"WOOD, LEATHER, HDIE, FUR, BONE, SINEW, METAL, C",48
STUCCO,48
SHELL (PEARL),47
"BARK (BIRCH), PLANT FIBER",47
"HORN, METAL",47
TOBACCO,47
"CLOTH (COTTON), THREAD (SILK)",47
YARN (COTTON),47
"CANE, WOOD, BARK, FEATHER, STRING (COTTON)",47
JADEITE,47
"WOOD, BAMBOO, PLANT FIBER, PIGMENT",46
LEAF (COCONUT),46
"STONE, WOOD",46
THREAD,46
"WOOD, METAL (COPPER)",46
"HIDE, WOOD, METAL",46
"HIDE, WOOD",46
"IVORY, METAL",46
"CLAY (TERRA COTTA), PIGMENT",46
"CANE, FEATHER, STRING, BEESWAX, WOOD, BONE",46
"PLANT FIBER, WOOD, DYE",46
"SHELL, CORD",45
"CANE, PLANT FIBER",45
"WOOD, PIGMENT, CORD",45
IVORY (WALRUS),45
PLANT FIBER (SPRUCE ROOT),45
"PLANT FIBER, PIGMENT, THREAD",45
"HIDE, BEADS, CLOTH, THREAD, SINEW",45
"PAPER, PIGMENT (INK)",45
"WOOD, HIDE, METAL, PLANT FIBER, FUR",45
SHELL (TURTLE),44
"WOOD, LIME",44
LEAF (PANDANUS),44
"HIDE, BEADS, PIGMENT, SINEW",44
"MINERAL (CERAMIC), MINERAL (PIGMENT)",44
YARN (SHEEP WOOL),44
"WOOD, METAL, STAIN",44
GOAT?,44
BONE (FISH),43
PLANT FIBER ?,43
"PAPER, PIGMENT (GRAPHITE ?)",43
"WOOD, METAL, FUR, PLANT FIBER, COATING",43
"CANE, WOOD, CORD",42
"PLANT FIBER, THREAD",42
PLANT FIBER (STRAW),42
CARDBOARD,42
"GOURD, WOOD",42
"HIDE, BEADS, METAL, SINEW",42
HOOF (CARIBOU),42
"HIDE, BEADS (GLASS), SINEW",42
ALABASTER,42
"METAL (IRON), WOOD, COATING",42
"WOOD, METAL, PL.FIBER, FEATHER, PITCH",42
"BONE, SHELL",41
ANIMAL (SHELL),41
"HIDE (GOAT), PIGMENT, STRING, WOOD",41
"WOOD, STAIN, PIGMENT",41
TERRACOTTA,41
"CANE, WOOD, PLANT FIBER, BONE, PIGMENT",40
"FEATHER, CORD",40
THORN,40
QUARTZ,40
RESIN,40
"HIDE, SINEW, PIGMENT",40
"IVORY, SINEW",40
STONE (CHALCEDONY),40
"WOOD, HIDE, METAL, FEATHERS, PIGMENT",40
"PLANT FIBER, WOOD, COATING",40
"WOOD, METAL, LEAVES, COATING",40
COMMERCIAL COTTON,40
"CANE, WOOD, BARK",39
SHELL (COWRIE),39
