text,count
KITE,112
SCARF,111
STORAGE BASKET,111
RAZOR,111
SNOWSHOE,111
BASKETRY MATERIAL,111
TRIPOD LEG,111
OBJECT,110
STRING,110
RUBBING STONE,110
WRISTLET,110
FLAKE,110
MEDICINE BAG,110
BARK PAINTING,109
COAT (MAN),109
NEEDLE CASE,109
BOWL FRAGMENT,109
HEDDLE ROD,109
STONE IMPLEMENT,108
BATTEN,108
STONE OBJECT,108
BANNER,108
BEATER,107
WOOD,107
HORN,107
MANTLE,107
RATTLE FRAGMENT,107
NET BAG,106
ROBE,105
THREAD,105
PONCHO,105
WRAPPED STICK,105
TOBACCO PIPE,104
LIME GOURD,104
GARTER,104
PEG,104
CHAIN,103
FISHING ARROW,103
STRAP,103
KNIFE POINT,103
WATER BOTTLE,102
APRON (WOMAN),102
DIGGING STICK,102
CRADLE,102
WRISTBAND,102
HANDKERCHIEF,102
HAMMOCK,102
SWORD CAP,102
AXE HEAD,101
MOCCASIN (CHILD),101
SHED ROD,101
SINKER,100
LEGBAND,100
TASSEL,100
STAND,99
BAND FRAGMENT,99
CAPE,98
HOE,98
ARM RING,97
ARROW FORESHAFT,97
FIRE STICK,97
PANTS,97
AWL CASE,97
DISH POTSHERD,97
POUNDER,96
STONE AXE,95
RIBBON,95
SHELL BEAD,95
TROUSERS,95
CARVED HOOK,94
STIRRUP,94
MOCCASIN (WOMAN),94
SEAL,94
TABLET,93
DISC,93
INRO,93
GARMENT,92
GRINDING STONE,92
KNIFE CASE,92
DANCING,91
COAT (WOMAN),90
LANTERN PANEL,90
OJIME,90
PLAQUE,89
SADDLE BLANKET,89
HARPOON LINE,89
SLIPPER,89
SHELL RING,88
BONE FRAGMENT,88
DANCE RATTLE,88
MANO,88
HELMET,87
LIME CONTAINER,87
GAMBLING STICK,87
BERRY SPOON,87
BREAST ORNAMENT,86
ARROW SHAFT,86
BELT (MAN),86
MODEL BOAT,85
MAUL,85
JACKET (WOMAN),85
CLAY BALL,85
SCABBARD,85
WATER JAR,84
MODEL PADDLE,83
SPEAR HEAD,83
POTTERY FRAGMENT,83
POLISHING STONE,83
JAR POTSHERD,83
LAMAISTIC,83
TUSK,82
KNOBSTICK,82
MUSICAL INSTRUMENT HORN,81
PAINT BRUSH,81
OBSIDIAN,81
COTTON,81
TRIPOD JAR,81
METAL BELL,81
STONE MASK,81
KAVA CUP,80
COLLAR,80
PAINT BAG,80
DSN TYPE,80
STENCIL,79
DANCE WAND,79
YURT,79
HEAD MASK,79
CONTAINER STOPPER,78
TUBE,78
STONE PROJECTILE POINT,78
PHOTOGRAPH,78
MARIONETTE,78
MOULD,77
HEAD RING,77
FLOWER POT,77
CRICKET GOURD,77
ARMRING,76
DISK,76
TOY VESSEL,76
SWORD COLLAR,76
WEDGE,75
SERAPE,75
BOW STRING,75
NUT,74
GAME,74
LID,74
CROSS,74
YARN BALL,74
CANDELERO,74
PLUME,73
HAMMER STONE,73
SINEW,73
FOOD DISH,72
FISH NET,72
SNOW KNIFE,72
LIME SPATULA,71
SHELL ORNAMENT,71
CANE,71
JACKET (MAN),71
SKIN SCRAPER,71
ARROW POINT,71
PATTERN,71
WOVEN BAND FRAGMENT,71
FRAME,70
LEG BAND,70
AX BLADE,70
PANEL,70
STONE BALL,70
BIRD ARROW,69
CALABASH,69
CORNHUSK BAG,69
BASKET PLAQUE,69
BOOT (MAN),69
ROSARY,69
EARSPOOL,69
STONE SCRAPER,69
LITHIC,69
TONG,68
BUCKET,68
CHAIR,68
EFFIGY JAR,68
FISH SPEAR,67
TORCH,67
WRAPPER,67
CONTAINER LID,67
COWRIE SHELL,67
CATS CRADLE,67
LIP PLUG,67
STONE ORNAMENT,67
ADZE HANDLE,66
BANDOLIER,66
KETTLE,66
BOTANICAL SAMPLE,66
PICK,65
BABY CARRIER,65
BREECHCLOTH,65
SHAMAN,65
PANTS (MAN),65
SOCIETY,65
HARPOON SHAFT,65
SWORD SHEATH,65
HOUSE MODEL,65
HATCHET,64
KNIFE (WOMAN),64
NECKBAND,64
GLOVE,64
PEBBLE,64
FEATHER STICK,64
DIORAMA,64
METATE FRAGMENT,64
PLATE POTSHERD,64
WHETSTONE,63
BRIDLE,63
CEREMONIAL ARROW,63
PAINT POT,63
BELLOWS,63
BETEL BOX,63
OPIUM PIPE,63
WOODBLOCK,63
SWORD SCABBARD,63
HATPIN,63
CARRYING STRAP,62
QUARTZ,62
HAND PUPPET,62
QUIPU,62
PIPE FRAGMENT,62
MOSAIC STONE,62
TRIPOD BOWL POTSHERD,62
DYE,61
HAT (WOMAN),61
KNIFE SCABBARD,61
KHIPU,61
THUMB PIANO,61
STONE PIECE,61
PLATTER,60
CIGAR,60
SPEAR SHAFT,60
HIDE,60
BULL ROARER,60
WATER PIPE,60
RING (ARCHER),60
DANCE ORNAMENT,59
CLAY,59
FORK,59
SCOOP,59
BASKET FRAGMENT,59
CARVED SPOON,59
VEST,59
TWEEZERS,59
PAINTED CLOTH,59
PAPERWEIGHT,59
DOUBLE VESSEL,59
WAISTBAND,58
MODEL TOTEM POLE,58
PROJECTILE POINT,58
BELT FRAGMENT,58
SHOE (WOMAN),58
VESSEL POTSHERD,58
MANO FRAGMENT,58
CUFF,57
NAVEL AMULET,57
HARPOON FORESHAFT,57
LOCK,57
BETEL CUTTER,57
INCENSARIO POTSHERD,57
RESIN,56
ROD,56
HAMMERSTONE,56
STOCKING,56
GAME STICK,56
IVORY,56
MODEL HOUSE,55
LIME STICK,55
NOSEPLUG,55
DRILL BOW,55
DICE,55
POWDER HORN,55
WOMANS KNIFE,55
BLACKWARE,55
CENSER,55
BEADWORK,55
JAR COVER,55
BUDDHIST,55
BOOK PAGE,55
CRICKET GOURD COVER,55
NECK CORD,55
PULIADOR,55
SEAT,54
ALTAR,54
KHIPU FRAGMENT,54
SPINDLE WHORL FRAGMENT,54
GRASS,53
HEADDRESS ORNAMENT,53
CAP (MAN),53
PUPPET,53
MODEL KAYAK,53
SICKLE,53
BOOT (WOMAN),53
KRIS SHEATH,53
PIGEON WHISTLE,53
TILE,53
DRUG,53
SHELL PLAQUE,52
THROWING SPEAR,52
LOINCLOTH,52
XYLOPHONE,52
TUMPLINE,52
WHITEWARE,52
BOTTLE STOPPER,52
HARP,52
OKIMONO,52
POTTERY OBJECT,52
FAKE FIGURINE,52
LEAF,51
CLOAK,51
TENT,51
ARROW (BOY),51
SKIN DRESSER,51
CANDLESTICK,51
GOBLET,51
DOG HARNESS,51
PANTS (WOMAN),51
HUMAN REMAINS,51
WEAVING SWORD,51
MOLD,51
CANDELERO FRAGMENT,51
BANNERSTONE,50
QUIRT,50
BASIN,50
TUBE CONTAINER,50
ENAMEL MATERIAL,50
YANG KO,50
PRINTING TYPE,50
TOY JAR,50
URN POTSHERD,50
PAINTED BARK PANEL,49
STOPPER,49
STIRRING STICK,49
SCRAP,49
FORESHAFT,49
TOBACCO BAG,49
FLESHER,49
EFFIGY POT,49
TIHU,49
LOOM BEATER,49
WORKED POTSHERD,49
KAVA BOWL,48
FOOD BOWL,48
ARM ORNAMENT,48
LADLE HANDLE,48
DANCE HEADDRESS,48
HAIRBAND,48
CHARCOAL,48
SOCIETY (WOMAN),48
PAPER,48
DRINKING CUP,47
SARONG,47
WATER BASKET,47
DANCE APRON,47
CANTEEN,47
BUFFALO ROBE,47
HEMP,47
SCALE,47
ABACA CLOTH,47
STONE ARROWHEAD FRAGMENT,47
DILLY BAG,46
BETEL STICK,46
NET SINKER,46
PLUG,46
BEADSTRING,46
WAR BONNET,46
SCRATCHER,46
BOW (BOY),46
KNIFE HANDLE,46
MANUSCRIPT,46
EYE FASTENER,46
SWIVEL,46
BLOWGUN DART QUIVER,46
RUBBING,46
WALL HANGING,46
COCA BAG,46
WHISTLE FRAGMENT,46
FIGURINE HEAD FRAGMENT,46
POTTERY BALL,46
EFFIGY VESSEL LEG,46
FISHING NET,45
POLE,45
AXE BLADE,45
ARROW STRAIGHTENER,45
WOOL,45
SHIRT (WOMAN),45
GREASE DISH,45
GUN,45
BUNDLE,45
BUNDLE BAG,45
LEDGER BOOK,45
STOVE,45
PLAINWARE,45
CAJETE POTSHERD,45
VOTIVE BOWL,45
THONG,44
TURBAN,44
GAME DIE,44
BASKETRY CAP,44
SACRED,44
FIRE STEEL,44
GUITAR,44
YARN SAMPLE,44
MANTLE FRAGMENT,44
VESSEL FOOT,44
POTTERY DISC,44
METAL FIGURINE,44
BEAD STRING,43
BASKET POUCH,43
SHELL DISC,43
FISHING LINE,43
CEREMONIAL STICK,43
SNOW GOGGLE,43
INCISING,43
TOWEL,43
WEIGHT,43
BOLA,43
JAR LID,43
CUSHMA,43
TRIPOD VASE,43
BASKET BAG,42
FLY BRUSH,42
BRACELET (MAN),42
FOOD HANGER,42
FILE,42
RITUAL BOARD,42
TINDER,42
SPADE,42
MODEL HARPOON,42
CLAY PIPE FRAGMENT,42
MODEL DISH,42
BARONG,42
TRIPOD FOOT,42
CLAY BEAD,42
VASE POTSHERD,42
SHOVEL,41
WAR ARROW,41
IMAGE,41
WAIST BAND,41
KEY,41
WAR BONNET TRAILER,41
STIRRER,41
THIMBLE,41
SASH (MAN),41
TROUSERS (MAN),41
SHAWL (WOMAN),41
NAPKIN,41
STOCKINGS,41
CARVED STONE,41
SLING FRAGMENT,41
WRAPPED CROSS,41
MINIATURE POTSHERD,41
OLLA NECK,41
POT HANDLE,41
MODEL TEMPLE FRAGMENT,41
STONE FLAKE KNIFE,40
POST,40
KNIFE BLADE,40
NECK BAND,40
HEAD SCRATCHER,40
SACK,40
GRAVER,40
FIGHTING KNIFE,40
TOE RING,40
BOWL COVER,40
CELT FRAGMENT,40
BIRD,40
GOURD BOWL,40
MINIATURE JAR,40
INCENSARIO FRAGMENT,40
INCENSARIO ADORNO,40
ALPENSTOCK,39
ARROW (CHILD),39
WIG,39
REDWARE,39
SHELL SECTION,39
PIGMENT,39
NAIL,39
DECOY,39
BLOUSE (WOMAN),39
HAIRBRUSH,39
FLAGEOLET,39
GRATER,39
WRIST GUARD,39
FRINGE,39
POTTERY STAMP,39
FLUTE FRAGMENT,39
DRESS (GIRL),38
POTTERY VESSEL,38
BATON,38
SHELL LOOP,38
BAG (WOMAN),38
WOOD CHIP,38
STONE ARTIFACT,38
SPEAR BARB,38
FRUIT,38
POTTERY TOOL,38
ATTACHMENT,38
HEADCLOTH,38
SLEEVE,38
WOODCUT PRINT,38
DART QUIVER,38
SNUFF BOX STOPPER,38
FIGURINE MOULD,38
MODEL ARROW,37
SLING STONE,37
BED,37
NECKLACE (MAN),37
DRINKING TUBE,37
DANCE MASK,37
ROBE (MAN),37
LEG RING,37
MODEL TRAP,37
PAINT DISH,37
POTTERY SMOOTHER,37
FIRE FLINT,37
MEDICINE PIPE BUNDLE,37
OUTFIT,37
TUNIC (MAN),37
GRAIN,37
BED ORNAMENT,37
KAMPILAN,37
FIBER SAMPLE,37
TRIPOD PLATE,37
OLLA FRAGMENT,37
CEREMONIAL SHIELD OBJECT,37
CYLINDER,36
GOURD CONTAINER,36
WAR SHIELD,36
HEADBAND (WOMAN),36
FLAKER,36
PENIS SHEATH,36
FIRE DRILL HEARTH,36
LETTER,36
SEAL SKIN,36
NET MAKING NEEDLE,36
DISCOIDAL STONE,36
WEAVING STICK,36
TIHU (MALE),36
FACIAL STAMP,36
BABY SLING,36
POTTERY DISK,36
WORKED SHELL,36
FUNERAL URN,36
CLAY CYLINDER,36
CEREMONIAL EYE,36
MATTING,35
WAR SPEAR,35
FISHING TACKLE,35
BULLROARER,35
MARLIN SPIKE,35
SHAFT,35
CRAZY DANCE,35
CANDLE,35
ANKLE RING,35
SPEAR FORESHAFT,35
TWINE,34
BONE DAGGER,34
BOARD,34
CANOE PADDLE,34
BAMBOO TUBE,34
LIME BOX,34
EFFIGY BOWL,34
EAR PLUG (WOMAN),34
BOWL LID,34
BANDOLIER BAG,34
SHAMAN RATTLE (SHAMAN),34
PACK STRAP,34
INCISED STONE,34
BACKREST,34
BOW DRILL,34
ANTLER,34
PLOW,34
TROUSERS (WOMAN),34
HANGING,34
ENVELOPE,34
DAGGER SHEATH,34
HAT (CHILD),34
ZITHER,34
BATIK,34
SEED BEAD,34
ANIMAL BONE,34
SAUCER VESSEL,34
MODEL FIGURINE,34
THROWING STICK,33
ANVIL,33
CAST,33
FISH BASKET,33
BACK ORNAMENT,33
HEADDRESS (MAN),33
APRON (MAN),33
ARMBAND (MAN),33
ADZE FLAKE,33
CORE,33
GAME COUNTER,33
DANCING HEADDRESS,33
GHOST DANCE,33
PAINT STONE,33
CUSHION,33
TEXTILE FRAGMENT,33
TOBACCO BOX,33
GAME FIGURE,33
IVORY CARVING,33
OIL LAMP,33
ARROWPOINT FRAGMENT,33
BAG CARRYING BAND,33
SCRAPING TOOL,33
EFFIGY WHISTLE FRAGMENT,33
DISH RIM POTSHERD,33
FEATHER STRING,32
FISH LINE,32
FLY SWITCH,32
CANOE PROW,32
BRACELET (WOMAN),32
FUR,32
SEED STRING,32
BASKET (WOMAN),32
MODEL BASKET,32
HEADBAND (MAN),32
GOUGE,32
PLANT FIBER,32
CIGARETTE HOLDER,32
CARRYING CORD,32
DOOR,32
BODY PANEL,32
ORNAMENT PANEL,32
STONE DISK,32
WEAVING IMPLEMENT,32
NECK CHARM,32
EARTH,32
FLASK,32
SECOND DANCE SOCIETY,32
CUP AND BALL GAME,32
PLANT,32
WOLF GENS,32
MINIATURE POT,32
TOOTHBRUSH,32
URN,32
PAPER CUT,32
COMPOSITE COMB,32
CORD FRAGMENT,32
FLYWHISK,32
MASK FRAGMENT,32
GOURD VESSEL,31
ADZE HEAD,31
SPEAR SHEATH,31
HOUSE POST,31
CRADLE BOARD,31
REED PIPE,31
BASKET BOTTLE,31
SIFTER,31
MIDEWIWIN,31
MEDICINE BOX CONTENT,31
KATSINA DOLL,31
SUPPORT,31
CARRYING CLOTH,31
FAKE STONE OBJECT,31
VASE FRAGMENT,31
TRIPOD VESSEL LEG,31
REWORKED,31
SLATE FRAGMENT,31
LIME SPOON,30
SAW,30
POT RING,30
COMB (WOMAN),30
MUSICAL BOW,30
ARROW PART,30
SHAMAN WAND (SHAMAN),30
REEL,30
QUILL,30
CT TYPE,30
MEDICINE CASE,30
BASKET WATER JAR,30
BUNDLE WRAPPER,30
SILVERSMITH,30
FIDDLE,30
FEATHER STICK BUNDLE,30
DOG TRACE,30
SHOE (MAN),30
SNUFF BOX LID,30
TEACUP,30
SWORD CLUB,30
SCULPTURE FRAGMENT,30
PIPE STEM FRAGMENT,30
JAR RIM POTSHERD,30
EAR PLUG FRAGMENT,30
CEREMONIAL BED,30
GIRDLE (MAN),29
WAMPUM,29
SLIT DRUM,29
SNAKE DANCE,29
OAR,29
BETEL NUT STICK,29
CARVED PANEL,29
DISH COVER,29
WATER GOURD,29
SACRED BOARD,29
ROCK,29
CHOPSTICK,29
TWEEZER,29
PIPE CLEANER,29
CROW DANCE,29
INCENSE,29
SASH (WOMAN),29
BEAVER BUNDLE,29
LANCE HEAD,29
BONE TOOL,29
CALLIGRAPHY,29
STORAGE BASKET COVER,29
STONE PLAQUE,29
WATER DROPPER,29
REBOZO,29
DRAWING BOOK,29
BOWL VESSEL,29
STUCCO FRAGMENT,29
STAMP FRAGMENT,29
MINIATURE VESSEL,29
SHEET COPPER SHAPE,29
HAIR COMB,28
CEREMONIAL SPEAR,28
COMB (MAN),28
BASKETRY HAT,28
SHAMAN NECK CHARM (SHAMAN),28
KAYAK,28
BANDOLIER (MAN),28
LOOM STICK,28
STOCKING (WOMAN),28
MODEL LAMP,28
SNUFF TUBE,28
SOCKET,28
WOVEN BAND,28
VIOLIN,28
LANTERN,28
AMULET CASE,28
BOLO,28
MANIOC SQUEEZER,28
TUNIC FRAGMENT,28
HUT,28
POT STIRRER,28
SPEARBLADE,28
GOLD SHEET,28
POCKET,27
GREENSTONE,27
BENCH,27
GRAVE MARKER,27
FEATHER BOX,27
DANCE STICK,27
LEGLET,27
POT REST,27
UMBRELLA,27
GAME ARROW,27
POWDER,27
MINIATURE,27
GRASS DANCE,27
CUP AND BALL,27
WINNOWING BASKET,27
BASKET SIEVE,27
MEDICINE BUNDLE,27
SLEDGE,27
SPOOL,27
TABLE,27
PLOWSHARE,27
ROOF TILE,27
TAPESTRY,27
TELESCOPING BASKET,27
FABRIC SAMPLE,27
HORSE BRIDLE,27
LOOM BACKSTRAP,27
HORSE TRAPPING,27
HINA DOLL ACCESSORY,27
PASSPORT MASK,27
INCENSE BURNER HANDLE,27
HICCARA,27
ZAHUMADOR FRAGMENT,27
SERVILLETA,27
MODEL CANOE PADDLE,26
AXE HANDLE,26
BASKET MATERIAL,26
DRUM STICK,26
HAT BAND,26
TOY (CHILD),26
NECKLACE PENDANT,26
WRAP GARMENT (WOMAN),26
VINE,26
BASKET JAR,26
HOOD,26
SHAMAN CHARM (SHAMAN),26
MESS DISH,26
TUB,26
CARVED LADLE,26
ARROW BARB,26
MOCCASIN (BOY),26
SCISSORS,26
HARPOON SOCKET,26
SLAB KACHINA,26
EMBROIDERY SAMPLE,26
MACE HEAD,26
FRUIT BASKET,26
RIDING WHIP,26
CEILING PANEL,26
POTTERY PIPE,26
TELESCOPE BASKET,26
POSTER,26
EFFIGY VASE,26
SWEAT SCRAPER,26
TRIPOD VESSEL FOOT,26
SHELL PENDANT,26
TRIPOD POT,26
BOTTLE POTSHERD,26
